あ ,a
い ,i
う ,u
え ,e
お ,o
ー ,-
！ ,!
- ,-
？ ,?
! ,!
? ,?
か ,ka
き ,ki
く ,ku
け ,ke
こ ,ko
か ,ca
く ,cu
こ ,co
が ,ga
ぎ ,gi
ぐ ,gu
げ ,ge
ご ,go
さ ,sa
し ,si
す ,su
せ ,se
そ ,so
ざ ,za
じ ,zi
ず ,zu
ぜ ,ze
ぞ ,zo
じゃ,ja
じ ,ji
じゅ,ju
じぇ,je
じょ,jo
た ,ta
ち ,ti
つ ,tu
て ,te
と ,to
だ ,da
ぢ ,di
づ ,du
で ,de
ど ,do
な ,na
に ,ni
ぬ ,nu
ね ,ne
の ,no
は ,ha
ひ ,hi
ふ ,hu
へ ,he
ほ ,ho
ば ,ba
び ,bi
ぶ ,bu
べ ,be
ぼ ,bo
ぱ ,pa
ぴ ,pi
ぷ ,pu
ぺ ,pe
ぽ ,po
ヴぁ,va
ヴぃ,vi
ヴ ,vu
ヴぇ,ve
ヴぉ,vo
ふぁ,fa
ふぃ,fi
ふ ,fu
ふぇ,fe
ふぉ,fo
ま ,ma
み ,mi
む ,mu
め ,me
も ,mo
や ,ya
い ,yi
ゆ ,yu
いぇ,ye
よ ,yo
ら ,ra
り ,ri
る ,ru
れ ,re
ろ ,ro
わ ,wa
ゐ ,wi
う ,wu
ゑ ,we
を ,wo
ん ,nn
つ ,tsu
ぁ ,xa
ぁ ,la
ぃ ,li
ぃ ,lyi
ぃ ,xi
ぃ ,xyi
ぇ ,lye
ぇ ,xye
ヵ ,lka
ヵ ,xka
ヶ ,lke
ヶ ,xke
っ ,ltsu
っ ,ltu
っ ,xtsu
っ ,xtu
ゃ ,lya
ゃ ,xya
ゅ ,lyu
ゅ ,xyu
ょ ,lyo
ょ ,xyo
ゎ ,lwa
ゎ ,xwa
きゃ,kya
きぃ,kyi
きゅ,kyu
きぇ,kye
きょ,kyo
ぎゃ,gya
ぎぃ,gyi
ぎゅ,gyu
ぎぇ,gye
ぎょ,gyo
しゃ,sya
しぃ,syi
しゅ,syu
しぇ,sye
しょ,syo
しゃ,sha
し ,shi
しゅ,shu
しぇ,she
しょ,sho
じゃ,zya
じぃ,zyi
じゅ,zyu
じぇ,zye
じょ,zyo
じゃ,jya
じぃ,jyi
じゅ,jyu
じぇ,jye
じょ,jyo
ちゃ,tya
ちぃ,tyi
ちゅ,tyu
ちぇ,tye
ちょ,tyo
ちゃ,cya
ちぃ,cyi
ちゅ,cyu
ちぇ,cye
ちょ,cyo
ちゃ,cha
ち ,chi
ちゅ,chu
ちぇ,che
ちょ,cho
てゃ,tha
てぃ,thi
てゅ,thu
てぇ,the
てょ,tho
ぢゃ,dya
ぢぃ,dyi
ぢゅ,dyu
ぢぇ,dye
ぢょ,dyo
でゃ,dha
でぃ,dhi
でゅ,dhu
でぇ,dhe
でょ,dho
にゃ,nya
にぃ,nyi
にゅ,nyu
にぇ,nye
にょ,nyo
ひゃ,hya
ひぃ,hyi
ひゅ,hyu
ひぇ,hye
ひょ,hyo
びゃ,bya
びぃ,byi
びゅ,byu
びぇ,bye
びょ,byo
ぴゃ,pya
ぴぃ,pyi
ぴゅ,pyu
ぴぇ,pye
ぴょ,pyo
みゃ,mya
みぃ,myi
みゅ,myu
みぇ,mye
みょ,myo
りゃ,rya
りぃ,ryi
りゅ,ryu
りぇ,rye
りょ,ryo
ん ,n
ん ,m
づ ,dzu
1 ,1
2 ,2
3 ,3
4 ,4
5 ,5
6 ,6
7 ,7
8 ,8
9 ,9
0 ,0
１ ,1
２ ,2
３ ,3
４ ,4
５ ,5
６ ,6
７ ,7
８ ,8
９ ,9
０ ,0
